"siteID"	"xcoord"	"ycoord"	"wgt"	"Lake_Origin"	"Chla"	"OE5"	"PTL"	"NTL"	"Turbidity"	"Chla_cond"	"OE5_cond"	"PTL_cond"	"NTL_cond"	"Turbidity_cond"
"NLA06608-2801"	-1364239.45156809	2240593.40731964	3.399432485	"Man-Made"	6.816	0.752522	36	339	22.5	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2833"	-1801008.36067932	2999427.40254894	7.363183584	"Man-Made"	3.061	0.304199	16	640	0.835	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-2881"	-1365346.67276503	2960808.20417198	1.69454268	"Natural"	0.886	1.129995	1	50	0.47	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-2889"	-1938598.78187527	1974511.78892046	1.224245099	"Man-Made"	1.772	0.191232	577	1476	0.905	"Good"	"Poor"	"Good"	"Poor"	"Good"
"NLA06608-2954"	-1240953.00175557	2439059.87063777	13.93868093	"Natural"	136.656	0.574651	876	7684	214	"Poor"	"Poor"	"Poor"	"Poor"	"Poor"
"NLA06608-3121"	-1599693.19378954	2614662.97800938	4.035550348	"Man-Made"	14.64	0.709114	46	455	5.72	"Poor"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-3153"	-1970907.05488486	3130821.60103262	7.93829747	"Natural"	1.499	0.737076	1	116	0.42	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-3157"	-1581198.53202732	2449359.43590233	4.035550348	"Man-Made"	2.208	0.922396	8	70	1.79	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-3265"	-1595909.53709991	2964913.17359147	21.49824829	"Natural"	1.768	0.648352	7	338	0.561	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-3313"	-1294482.02868471	2232798.03493027	3.399432485	"Man-Made"	7.728	0.592139	41	316	5.67	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-3329"	-1543474.3447866	2998348.79244898	3.664950899	"Natural"	3.704	0.991219	10	374	1.05	"Poor"	"Good"	"Good"	"Good"	"Good"
